field_path,occurrences,approx_bytes,file_count,classification,example_files
[].git_observation_refs,463,37480,87,keep_in_model_view,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
[].candidate_id,463,36577,87,wrapper_owned_not_model_output,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
tool_calls[].args,194,35314,30,keep_in_model_view,rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json
cases.CVE-2020-11647,1,34583,1,keep_in_model_view,version30:schema_diagnostics.json
CVE-2020-13164.diagnostic_all_tags[].false_positive_taxonomy.false_positive_predicted_tags,4,34402,2,audit_only,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-15466.diagnostic_all_tags.top1,1,34386,1,audit_only,version30:ranking_diagnostics.json
CVE-2020-19667.release_tag_universe,4,34380,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
CVE-2020-19667.diagnostic_all_tags,4,34374,4,audit_only,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
git_trace[].operation,2216,34278,117,keep_in_model_view,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json
CVE-2020-11647.diagnostic_all_tags[].predicted_tags,3,34259,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-11647.diagnostic_all_tags[].diagnostic_all_tags,3,34259,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
patch_evidence[].content.context_lines[].text,1053,34073,29,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json
cases.CVE-2020-13164.all_tags,2,33852,2,keep_in_model_view,version10:schema_diagnostics.json | version30:schema_diagnostics.json
